stage_number,stage_name,agent_id,r2_score,mse,rmse,mae,avg_uncertainty,coverage,training_data_size
1,initial,0,-3.3104701672579147,11.132031440734863,3.3364699070626824,2.5427732467651367,0.7332276701927185,0.27125000953674316,400
1,initial,1,-1.9924840354737632,7.72825813293457,2.779974484223654,2.061352491378784,0.7974463701248169,0.35749998688697815,400
1,initial,2,-0.849178377117485,4.775607109069824,2.185316249211959,1.496392011642456,0.7956779599189758,0.5712500214576721,400
1,initial,3,-0.5491178750462686,4.000683784484863,2.000170938816196,1.5551133155822754,0.8506991863250732,0.5637500286102295,400
2,dac,0,-1.2110217760087347,5.710087776184082,2.389578995594011,1.9618690013885498,0.7332276701927185,0.2750000059604645,400
2,dac,1,-0.7763061121187593,4.5874104499816895,2.1418240940800177,1.7056115865707397,0.7974463701248169,0.5212500095367432,400
2,dac,2,-0.8806575346259706,4.856903553009033,2.2038383681679186,1.7660517692565918,0.7956779599189758,0.45500001311302185,400
2,dac,3,-0.7557883467250988,4.534421920776367,2.1294182118072453,1.694543719291687,0.8506991863250732,0.5525000095367432,400
3,retrain,0,-1.7176415535666312,7.01846170425415,2.6492379478359718,1.957936406135559,0.7655991315841675,0.42750000953674316,480
3,retrain,1,-0.10519301578663698,2.8542230129241943,1.6894445871126387,1.1873416900634766,0.8355252146720886,0.6474999785423279,480
3,retrain,2,-0.19490943595419052,3.085920810699463,1.7566789150836482,1.2582077980041504,0.9046050906181335,0.8462499976158142,480
3,retrain,3,-0.12392856973501565,2.902608633041382,1.7037043854616862,1.1949429512023926,0.8460061550140381,0.7174999713897705,480
4,dac,0,-0.7776177781473119,4.5907979011535645,2.142614734653331,1.8159583806991577,0.7655991315841675,0.3100000023841858,480
4,dac,1,0.02992317891594154,2.5052778720855713,1.5828069598297738,1.2183880805969238,0.8355252146720886,0.6162499785423279,480
4,dac,2,-0.15813091135413138,2.990938186645508,1.7294329089749356,1.4154728651046753,0.9046050906181335,0.6424999833106995,480
