stage_number,stage_name,agent_id,r2_score,mse,rmse,mae,avg_uncertainty,coverage,training_data_size
1,initial,0,-3.3469732419919778,11.226302146911621,3.3505674365563247,2.5532546043395996,0.7348945736885071,0.2762500047683716,400
1,initial,1,-2.037628980478106,7.844847202301025,2.800865438092488,2.077303886413574,0.800998330116272,0.36000001430511475,400
1,initial,2,-0.8492993812628216,4.775919437408447,2.1853877087163385,1.4964120388031006,0.7957448363304138,0.5712500214576721,400
1,initial,3,-0.6237158671333709,4.193337440490723,2.047764009960797,1.5983068943023682,0.8546518683433533,0.5475000143051147,400
2,dac,0,-1.2356241403161743,5.773624897003174,2.402836843608649,1.976467490196228,0.7348945736885071,0.26875001192092896,400
2,dac,1,-0.8053543152543277,4.662428855895996,2.159265814089594,1.7213647365570068,0.800998330116272,0.5137500166893005,400
2,dac,2,-0.890909681740492,4.88338041305542,2.2098371915268826,1.7717779874801636,0.7957448363304138,0.45625001192092896,400
2,dac,3,-0.7881332038124294,4.617954254150391,2.1489425897753507,1.7112030982971191,0.8546518683433533,0.5487499833106995,400
3,retrain,0,-1.7290941705175547,7.048038959503174,2.654814298496822,1.9635016918182373,0.7670632004737854,0.42625001072883606,480
3,retrain,1,-0.13604210092897495,2.9338924884796143,1.7128609075110606,1.2079243659973145,0.8413088917732239,0.6462500095367432,480
3,retrain,2,-0.19588763157440292,3.088446855545044,1.7573977510925192,1.2617459297180176,0.9088544249534607,0.8462499976158142,480
3,retrain,3,-0.14648922542611897,2.9608728885650635,1.720718712795634,1.2113065719604492,0.8493862748146057,0.7137500047683716,480
4,dac,0,-0.7809365295357711,4.599368572235107,2.1446138515441673,1.8213114738464355,0.7670632004737854,0.3062500059604645,480
4,dac,1,0.013514177814694217,2.5476551055908203,1.5961375584801019,1.232638955116272,0.8413088917732239,0.6137499809265137,480
4,dac,2,-0.16009238382331548,2.9960036277770996,1.7308967698210946,1.419735074043274,0.9088544249534607,0.6424999833106995,480
4,dac,3,0.1396776019477931,2.2218308448791504,1.490580707267859,1.1471431255340576,0.8493862748146057,0.625,480
5,retrain,0,-0.3690869859030079,3.5357439517974854,1.8803574000166792,1.3368474245071411,0.7872325778007507,0.7250000238418579,560
5,retrain,1,0.3530063149069663,1.6708974838256836,1.2926319986081436,0.9271930456161499,0.855515718460083,0.7887499928474426,560
5,retrain,2,0.03940014322439955,2.4808030128479004,1.575056511001399,1.0746973752975464,0.8844588398933411,0.8500000238418579,560
5,retrain,3,0.10327981500034611,2.3158302307128906,1.5217852117539092,1.0648140907287598,0.8748601675033569,0.7662500143051147,560
6,dac,0,-0.10546846565263301,2.8549344539642334,1.689655128706516,1.47248113155365,0.7872325778007507,0.5325000286102295,560
6,dac,1,0.4456918861075311,1.4315317869186401,1.1964663751725915,0.8845831155776978,0.855515718460083,0.7074999809265137,560
6,dac,2,0.278112193534499,1.8643157482147217,1.3653994830139353,1.0987063646316528,0.8844588398933411,0.675000011920929,560
6,dac,3,0.45899861979908574,1.3971664905548096,1.1820179738712984,0.8450945019721985,0.8748601675033569,0.6862499713897705,560
7,retrain,0,0.28636552705686136,1.843001127243042,1.3575717760925357,0.9121188521385193,0.7893905639648438,0.793749988079071,640
7,retrain,1,0.5800166794308554,1.0846304893493652,1.0414559469076765,0.6986292004585266,0.8395720720291138,0.84375,640
7,retrain,2,0.2878129682445857,1.8392629623413086,1.356194293728339,0.8515475392341614,0.8268933892250061,0.8412500023841858,640
7,retrain,3,0.35542072574438843,1.6646621227264404,1.29021785862948,0.8677882552146912,0.8999130129814148,0.7912499904632568,640
8,dac,0,0.25344152805908626,1.928029179573059,1.3885349039808323,1.2002449035644531,0.7893905639648438,0.574999988079071,640
8,dac,1,0.6982478623403383,0.7792918682098389,0.8827750949193338,0.5952672958374023,0.8395720720291138,0.7450000047683716,640
8,dac,2,0.4663529303353916,1.3781734704971313,1.1739563324490103,0.9295992255210876,0.8268933892250061,0.6875,640
8,dac,3,0.6549652467603188,0.891071617603302,0.9439658985383433,0.6270729303359985,0.8999130129814148,0.7587500214576721,640
9,retrain,0,0.5946224647051475,1.046910285949707,1.023186339798234,0.6332355737686157,0.7711132168769836,0.7962499856948853,720
9,retrain,1,0.7368274461993329,0.6796578764915466,0.8244136561772535,0.5116340517997742,0.7514364719390869,0.8412500023841858,720
9,retrain,2,0.35950201595106834,1.654121994972229,1.2861267414109034,0.7738383412361145,0.7669405341148376,0.8224999904632568,720
9,retrain,3,0.4969487812165413,1.299157977104187,1.1398061138212003,0.7488247752189636,0.8653911352157593,0.7987499833106995,720
10,dac,0,0.44345667720995585,1.4373043775558472,1.1988762978538892,1.0135327577590942,0.7711132168769836,0.5762500166893005,720
10,dac,1,0.7519417679379381,0.6406242847442627,0.8003900828622645,0.5957112312316895,0.7514364719390869,0.6899999976158142,720
10,dac,2,0.5441580640304154,1.1772373914718628,1.0850057103406705,0.8320481181144714,0.7669405341148376,0.6899999976158142,720
10,dac,3,0.7253453167627668,0.7093111276626587,0.8422061075904512,0.5538792610168457,0.8653911352157593,0.7149999737739563,720
11,retrain,0,0.7257553896488556,0.7082521319389343,0.8415771693308548,0.5193769335746765,0.7302035689353943,0.7887499928474426,800
11,retrain,1,0.7379548290592794,0.6767463684082031,0.8226459556870155,0.534067690372467,0.6603929996490479,0.7987499833106995,800
11,retrain,2,0.4956388877096489,1.302540898323059,1.1412891387913315,0.680561900138855,0.6986290216445923,0.8100000023841858,800
11,retrain,3,0.5483412742325572,1.1664340496063232,1.080015763591589,0.7012683749198914,0.82844078540802,0.7987499833106995,800
12,dac,0,0.5584980301397319,1.140203595161438,1.0678031631164229,0.8761166930198669,0.7302035689353943,0.5774999856948853,800
12,dac,1,0.7354864744793317,0.6831210255622864,0.8265113583988344,0.6490480303764343,0.6603929996490479,0.6274999976158142,800
12,dac,2,0.587470133012022,1.0653815269470215,1.03217320588505,0.7918464541435242,0.6986290216445923,0.6825000047683716,800
12,dac,3,0.7524410725186044,0.6393348574638367,0.7995841778473588,0.5377361178398132,0.82844078540802,0.7012500166893005,800
13,retrain,0,0.8035599768163675,0.5073173642158508,0.7122621457131151,0.45249104499816895,0.6752862334251404,0.7737500071525574,880
13,retrain,1,0.7760684465158336,0.578315794467926,0.7604707716065924,0.5007591843605042,0.6135836839675903,0.7587500214576721,880
13,retrain,2,0.5770335254767285,1.0923346281051636,1.0451481369189555,0.6295377612113953,0.6408629417419434,0.7962499856948853,880
13,retrain,3,0.6548229132710042,0.8914391994476318,0.94416057927009,0.6216251254081726,0.7721938490867615,0.7749999761581421,880
14,dac,0,0.676674205793693,0.8350070118904114,0.9137871808525284,0.7313608527183533,0.6752862334251404,0.5849999785423279,880
14,dac,1,0.7555964564940479,0.6311858892440796,0.7944720821048903,0.6214256882667542,0.6135836839675903,0.6162499785423279,880
14,dac,2,0.657338889599556,0.884941577911377,0.9407133346091023,0.7198554873466492,0.6408629417419434,0.675000011920929,880
14,dac,3,0.8049624254959502,0.5036954879760742,0.7097150752069976,0.49603554606437683,0.7721938490867615,0.7049999833106995,880
15,retrain,0,0.8532342907320765,0.37903067469596863,0.6156546716268534,0.3959829807281494,0.641878068447113,0.7649999856948853,960
15,retrain,1,0.7964782062563321,0.5256064534187317,0.724987209141466,0.48081955313682556,0.554421603679657,0.7212499976158142,960
15,retrain,2,0.6485863253515967,0.9075455665588379,0.9526518601035942,0.5764384269714355,0.5954062938690186,0.7837499976158142,953
15,retrain,3,0.6962025200545988,0.784574031829834,0.8857618369685126,0.5927045941352844,0.7146434783935547,0.7649999856948853,933
16,dac,0,0.7429435321878741,0.6638627648353577,0.8147777395310685,0.6432886719703674,0.641878068447113,0.5724999904632568,960
16,dac,1,0.7669324267487163,0.6019101142883301,0.775828662971619,0.6078690886497498,0.554421603679657,0.5924999713897705,960
16,dac,2,0.711727505519846,0.7444798946380615,0.8628324835320362,0.652273416519165,0.5954062938690186,0.6712499856948853,953
16,dac,3,0.8308930584514927,0.43672817945480347,0.6608541287264561,0.48374393582344055,0.7146434783935547,0.6899999976158142,933
17,retrain,0,0.8725022215610979,0.3292701840400696,0.5738206897978406,0.3768669068813324,0.5963362455368042,0.7599999904632568,982
17,retrain,1,0.8132534989586612,0.4822833240032196,0.6944662151632861,0.45727118849754333,0.5263515710830688,0.706250011920929,988
17,retrain,2,0.711727505519846,0.7444798946380615,0.8628324835320362,0.652273416519165,0.5954062938690186,0.6712499856948853,953
17,retrain,3,0.8308930584514927,0.43672817945480347,0.6608541287264561,0.48374393582344055,0.7146434783935547,0.6899999976158142,933
18,dac,0,0.8096615576693227,0.4915597140789032,0.7011131963377263,0.546870768070221,0.5963362455368042,0.5950000286102295,982
18,dac,1,0.7916013787865241,0.5382011532783508,0.7336219416554761,0.5626646280288696,0.5263515710830688,0.6037499904632568,988
18,dac,2,0.7507764235724357,0.6436339020729065,0.8022679739793347,0.6329489946365356,0.5954062938690186,0.6549999713897705,953
