Function,Method,R2,MSE,Type
Multimodal,Baseline_VSGP,0.978587637510008,0.0552986242290896,Centralized
Multimodal,Standard_DAC,0.7977497948315968,0.5223225131630898,Distributed
Multimodal,Weighted_DAC_PoE,0.7986146192278717,0.5200890526175499,Distributed
Polynomial,Baseline_VSGP,0.9745462684017676,0.6416791430284057,Centralized
Polynomial,Standard_DAC,0.919999763458114,2.0167762339115143,Distributed
Polynomial,Weighted_DAC_PoE,0.922102306039537,1.96377195417881,Distributed
Rbf_Mixture,Baseline_VSGP,0.9848957580043284,0.0190199601320467,Centralized
Rbf_Mixture,Standard_DAC,0.6695514710404775,0.4161160625517368,Distributed
Rbf_Mixture,Weighted_DAC_PoE,0.6703551221986398,0.4151040613651275,Distributed
Sinusoidal,Baseline_VSGP,0.9963955884717453,0.023634320151543,Centralized
Sinusoidal,Standard_DAC,0.5850515224833153,2.720839560031891,Distributed
Sinusoidal,Weighted_DAC_PoE,0.5847233731808452,2.7229912877082825,Distributed
