stage_number,stage_name,agent_id,r2_score,mse,rmse,mae,avg_uncertainty,coverage,training_data_size
1,initial,0,-0.05776057213404506,1.3319809436798096,1.1541147879131475,0.7595051527023315,0.6075004935264587,0.7583333253860474,300
1,initial,1,0.527176095059661,0.5954017043113708,0.7716227733234491,0.5837421417236328,0.7422856092453003,0.9366666674613953,300
1,initial,2,-0.5976790818095894,2.011871337890625,1.4184045043254145,1.0198880434036255,0.3862578868865967,0.5166666507720947,300
1,initial,3,0.29834345460224143,0.8835583329200745,0.9399778363983241,0.6902596354484558,0.6029993295669556,0.8883333206176758,300
2,dac,0,0.2917797825973819,0.8918236494064331,0.9443641508477718,0.7114395499229431,0.6075004935264587,0.67166668176651,300
2,dac,1,0.522659294124193,0.6010894775390625,0.7752996050167074,0.588759183883667,0.7422856092453003,0.7599999904632568,300
2,dac,2,-0.04704555995296933,1.3184881210327148,1.1482543799318663,0.8776509761810303,0.3862578868865967,0.4650000035762787,300
2,dac,3,0.28409395864584464,0.9015019536018372,0.9494745671169066,0.7145899534225464,0.6029993295669556,0.7149999737739563,300
3,retrain,0,0.4673293914696477,0.6707634329795837,0.8190014853341743,0.5452228784561157,0.5785794854164124,0.8183333277702332,360
3,retrain,1,0.7222752493110857,0.34972384572029114,0.5913745392898574,0.42330309748649597,0.6597884893417358,0.9583333134651184,360
3,retrain,2,-0.2030891451047958,1.51498544216156,1.2308474487772887,0.855197548866272,0.29279252886772156,0.36500000953674316,360
3,retrain,3,0.7302055619867335,0.3397376239299774,0.5828701604388214,0.38859012722969055,0.5576348900794983,0.9083333611488342,360
4,dac,0,0.663152762278697,0.42417362332344055,0.6512861301482172,0.48612675070762634,0.5785794854164124,0.7866666913032532,360
4,dac,1,0.765678399866611,0.2950685918331146,0.5432021647905267,0.4166807234287262,0.6597884893417358,0.7433333396911621,360
4,dac,2,0.09597642569264386,1.1383882761001587,1.0669527993778163,0.8062528371810913,0.29279252886772156,0.2966666519641876,360
4,dac,3,0.6918896389330486,0.38798680901527405,0.6228858715810418,0.4608716368675232,0.5576348900794983,0.7116666436195374,360
5,retrain,0,0.5507548574269725,0.5657102465629578,0.7521371195220707,0.5197103023529053,0.520097017288208,0.7833333611488342,420
5,retrain,1,0.7818370728463904,0.27472084760665894,0.5241381951419481,0.3413545489311218,0.6181468963623047,0.878333330154419,420
5,retrain,2,-0.03597898163036728,1.3045525550842285,1.1421701077703919,0.7826829552650452,0.27998077869415283,0.3799999952316284,420
5,retrain,3,0.9079898010286763,0.11586349457502365,0.3403872714644654,0.23172231018543243,0.5536747574806213,0.871666669845581,420
6,dac,0,0.7017451235989958,0.37557631731033325,0.6128428161529947,0.46343496441841125,0.520097017288208,0.7733333110809326,420
6,dac,1,0.79000757256944,0.2644321620464325,0.5142296783018582,0.40332841873168945,0.6181468963623047,0.6866666674613953,420
6,dac,2,0.15107973298253363,1.0689996480941772,1.033924391865371,0.776096522808075,0.27998077869415283,0.30666667222976685,420
6,dac,3,0.8072649503284848,0.24270087480545044,0.4926468053336492,0.38564935326576233,0.5536747574806213,0.6883333325386047,420
7,retrain,0,0.6310461176952036,0.4646037817001343,0.681618501582912,0.4839931130409241,0.477942556142807,0.7599999904632568,480
7,retrain,1,0.8353278370448103,0.2073628008365631,0.4553710584090332,0.29495468735694885,0.5612655878067017,0.8450000286102295,480
7,retrain,2,0.10250431097859358,1.130168080329895,1.0630936366707755,0.7195087671279907,0.2609368562698364,0.37833333015441895,480
7,retrain,3,0.942324860565851,0.07262720167636871,0.26949434442371645,0.1991439312696457,0.5261234045028687,0.8416666388511658,480
8,dac,0,0.7499978592627872,0.3148142397403717,0.5610830952188559,0.4296671450138092,0.477942556142807,0.753333330154419,480
8,dac,1,0.8145866868260103,0.2334810197353363,0.48319873730726604,0.3920222520828247,0.5612655878067017,0.6600000262260437,480
8,dac,2,0.23032930083463865,0.9692049026489258,0.9844820479058649,0.7351384162902832,0.2609368562698364,0.27000001072883606,480
