stage_number,stage_name,agent_id,r2_score,mse,rmse,mae,avg_uncertainty,coverage,training_data_size
1,initial,0,-0.05748122569162817,1.3316292762756348,1.1539624241177158,0.7594611644744873,0.6075562834739685,0.7583333253860474,300
1,initial,1,0.5261136011082769,0.596739649772644,0.7724892554415524,0.5844444036483765,0.7421292662620544,0.9350000023841858,300
1,initial,2,-0.5981001210397445,2.012401580810547,1.4185914072806682,1.0200607776641846,0.3862440586090088,0.5149999856948853,300
1,initial,3,0.3072435227342202,0.8723509907722473,0.9339973183967111,0.6868364214897156,0.6027661561965942,0.8916666507720947,300
2,dac,0,0.2923043044165293,0.8911631107330322,0.9440143593892162,0.7113725543022156,0.6075562834739685,0.6733333468437195,300
2,dac,1,0.5233642036257917,0.6002018451690674,0.7747269487819999,0.5885900259017944,0.7421292662620544,0.7599999904632568,300
2,dac,2,-0.04680717031977899,1.318187952041626,1.1481236658311795,0.8776338696479797,0.3862440586090088,0.46666666865348816,300
2,dac,3,0.291360439803112,0.8923516869544983,0.9446436825356418,0.7113394737243652,0.6027661561965942,0.7133333086967468,300
3,retrain,0,0.4697625652248799,0.6676994562149048,0.8171287880223684,0.5446116328239441,0.5776376724243164,0.8199999928474426,360
3,retrain,1,0.7238624670382703,0.34772515296936035,0.5896822474599014,0.42202579975128174,0.6600844264030457,0.9583333134651184,360
3,retrain,2,-0.2029893785182184,1.5148597955703735,1.230796407035044,0.8550455570220947,0.29279643297195435,0.36666667461395264,360
3,retrain,3,0.7323863909040538,0.33699142932891846,0.5805096289717496,0.38551756739616394,0.557555615901947,0.9083333611488342,360
4,dac,0,0.6645220687773048,0.4224493205547333,0.6499610146422117,0.4851680397987366,0.5776376724243164,0.7900000214576721,360
4,dac,1,0.7672100189272273,0.29313990473747253,0.5414239602543209,0.4149944484233856,0.6600844264030457,0.7450000047683716,360
4,dac,2,0.09738608313051911,1.136613130569458,1.0661205985110025,0.8056964874267578,0.29279643297195435,0.30000001192092896,360
4,dac,3,0.6958410622184691,0.38301098346710205,0.6188788116158946,0.45813578367233276,0.557555615901947,0.7133333086967468,360
5,retrain,0,0.5523954724932079,0.563644289970398,0.750762472404154,0.5190873742103577,0.5205453634262085,0.7833333611488342,420
5,retrain,1,0.7818553297278207,0.27469784021377563,0.5241162468515698,0.34116581082344055,0.6176267266273499,0.8766666650772095,420
5,retrain,2,-0.03508843357333946,1.3034311532974243,1.1416790938339128,0.7821653485298157,0.279326468706131,0.3799999952316284,420
5,retrain,3,0.9069005579186035,0.11723511666059494,0.3423961399615874,0.23305165767669678,0.5538207292556763,0.8733333349227905,420
6,dac,0,0.7030247007566797,0.3739650249481201,0.6115267982256543,0.46215495467185974,0.5205453634262085,0.7716666460037231,420
6,dac,1,0.7904363265437393,0.263892263174057,0.5137044511915942,0.4028603732585907,0.6176267266273499,0.6850000023841858,420
6,dac,2,0.15189135637957274,1.0679775476455688,1.0334299916518626,0.7756829857826233,0.279326468706131,0.3033333420753479,420
6,dac,3,0.8068996915258857,0.24316082894802094,0.4931134037399723,0.3860507011413574,0.5538207292556763,0.6883333325386047,420
7,retrain,0,0.6300685263207366,0.4658347964286804,0.6825209128141646,0.4846789538860321,0.47870367765426636,0.7599999904632568,480
7,retrain,1,0.8221498625021864,0.2239571064710617,0.4732410659178488,0.3047601878643036,0.5547369718551636,0.8383333086967468,480
7,retrain,2,0.11352516631495835,1.1162900924682617,1.0565463039868446,0.7145605683326721,0.2581568658351898,0.375,480
7,retrain,3,0.9416853799709048,0.07343246787786484,0.2709842576200043,0.1995588093996048,0.5264028906822205,0.8416666388511658,480
8,dac,0,0.7469149909548838,0.31869634985923767,0.564531974169079,0.4330320358276367,0.47870367765426636,0.7516666650772095,480
8,dac,1,0.8109995933425851,0.23799805343151093,0.48785044166374486,0.3950039744377136,0.5547369718551636,0.6583333611488342,480
8,dac,2,0.23635601049052646,0.961615800857544,0.9806201103676917,0.7325046062469482,0.2581568658351898,0.25999999046325684,480
8,dac,3,0.8459570580396956,0.19397799670696259,0.44042933225088743,0.3652489185333252,0.5264028906822205,0.6883333325386047,480
9,retrain,0,0.6523168790408065,0.43781864643096924,0.6616786579835935,0.4798617660999298,0.4328633248806,0.7583333253860474,540
9,retrain,1,0.8349658903313203,0.20781858265399933,0.45587123472971985,0.29658326506614685,0.49510639905929565,0.8100000023841858,540
9,retrain,2,0.2196644546861658,0.9826346039772034,0.9912792764792389,0.6722888350486755,0.24160730838775635,0.3383333384990692,540
9,retrain,3,0.9335258868854431,0.08370727300643921,0.2893220921506673,0.2211335301399231,0.4899955093860626,0.8183333277702332,540
10,dac,0,0.7567997795311799,0.3062489628791809,0.5533976534818167,0.43016180396080017,0.4328633248806,0.7099999785423279,540
10,dac,1,0.8103430322637122,0.23882481455802917,0.48869705806156555,0.40040358901023865,0.49510639905929565,0.6399999856948853,540
10,dac,2,0.300190307802511,0.8812326788902283,0.9387399420980382,0.7002254724502563,0.24160730838775635,0.22499999403953552,540
10,dac,3,0.8364471515005134,0.20595329999923706,0.4538207796027382,0.3826785385608673,0.4899955093860626,0.6583333611488342,540
11,retrain,0,0.6655710316329385,0.42112842202186584,0.6489440823536846,0.4770217835903168,0.39561793208122253,0.721666693687439,600
11,retrain,1,0.8296660024738808,0.21449244022369385,0.46313328559248884,0.3040951192378998,0.44067683815956116,0.7549999952316284,600
11,retrain,2,0.25004794451934653,0.9443742632865906,0.9717892072289086,0.6621026992797852,0.23283419013023376,0.33000001311302185,600
11,retrain,3,0.9195475177356863,0.10130948573350906,0.3182915106211742,0.24501515924930573,0.4517153799533844,0.7883333563804626,600
12,dac,0,0.7575959330486,0.30524641275405884,0.552491097443261,0.43367233872413635,0.39561793208122253,0.675000011920929,600
12,dac,1,0.8167053736812053,0.23081307113170624,0.4804300897442897,0.39413923025131226,0.44067683815956116,0.6150000095367432,600
12,dac,2,0.32891048264166023,0.8450669646263123,0.9192752387758044,0.6863465905189514,0.23283419013023376,0.22499999403953552,600
12,dac,3,0.8207275827734992,0.22574810683727264,0.47512956847293,0.4020148813724518,0.4517153799533844,0.6416666507720947,600
13,retrain,0,0.6921748825097327,0.38762760162353516,0.6225974635537276,0.46148741245269775,0.3652155101299286,0.6700000166893005,660
13,retrain,1,0.8405893531381816,0.20073725283145905,0.44803711099802773,0.3068316578865051,0.4005582928657532,0.7350000143051147,660
13,retrain,2,0.24576105103764312,0.9497725367546082,0.9745627413125376,0.6699177622795105,0.22719663381576538,0.3199999928474426,660
13,retrain,3,0.9125000585685875,0.1101839691400528,0.3319397070855682,0.25162434577941895,0.41525381803512573,0.746666669845581,660
14,dac,0,0.7606139126838973,0.30144602060317993,0.5490410008398097,0.4302006661891937,0.3652155101299286,0.6433333158493042,660
14,dac,1,0.8246533979553204,0.22080454230308533,0.4698984382854292,0.3902404010295868,0.4005582928657532,0.5950000286102295,660
14,dac,2,0.34853146008898184,0.8203592896461487,0.9057368766071903,0.6760973334312439,0.22719663381576538,0.2266666740179062,660
14,dac,3,0.8132895394395162,0.2351144403219223,0.4848860075542728,0.4114268124103546,0.41525381803512573,0.628333330154419,660
15,retrain,0,0.6952535905105843,0.3837507665157318,0.6194762033490324,0.4565945565700531,0.3370587229728699,0.6549999713897705,706
15,retrain,1,0.8298746640877508,0.21422968804836273,0.4628495306774792,0.3282111883163452,0.3707817494869232,0.6933333277702332,720
15,retrain,2,0.2495374788832473,0.9450170993804932,0.9721198996937019,0.6699891686439514,0.22719861567020416,0.3050000071525574,720
15,retrain,3,0.9036627484665257,0.12131232023239136,0.3482991820725271,0.2627243399620056,0.38839519023895264,0.7283333539962769,690
16,dac,0,0.7542436545656069,0.30946776270866394,0.5562982677563035,0.43511343002319336,0.3370587229728699,0.6116666793823242,706
16,dac,1,0.8269477669029521,0.2179153710603714,0.466814064762804,0.3918570280075073,0.3707817494869232,0.5816666483879089,720
16,dac,2,0.3765648207426402,0.7850583791732788,0.8860352019944122,0.661528468132019,0.22719861567020416,0.2383333295583725,720
16,dac,3,0.8113505132228217,0.23755615949630737,0.48739733226219795,0.4132545590400696,0.38839519023895264,0.6066666841506958,690
17,retrain,0,0.7542436545656069,0.30946776270866394,0.5562982677563035,0.43511343002319336,0.3370587229728699,0.6116666793823242,706
17,retrain,1,0.8338627021143585,0.20920775830745697,0.45739234614000374,0.32472535967826843,0.3499058783054352,0.67166668176651,744
17,retrain,2,0.2584122620422714,0.9338415265083313,0.9663547622422789,0.671021044254303,0.22532768547534943,0.2966666519641876,724
17,retrain,3,0.8113505132228217,0.23755615949630737,0.48739733226219795,0.4132545590400696,0.38839519023895264,0.6066666841506958,690
18,dac,0,0.7347509397885997,0.3340138792991638,0.5779393387710892,0.4588136672973633,0.3370587229728699,0.5816666483879089,706
18,dac,1,0.8228416852126713,0.2230859398841858,0.4723197432716377,0.3897550106048584,0.3499058783054352,0.5683333277702332,744
18,dac,2,0.36075193794411153,0.8049706816673279,0.8972015836295252,0.669416069984436,0.22532768547534943,0.2266666740179062,724
18,dac,3,0.7641489215465164,0.29699456691741943,0.54497207902554,0.4617260694503784,0.38839519023895264,0.5849999785423279,690
19,final,0,0.7152811067003764,0.3585311770439148,0.5987747297973711,0.47166091203689575,0.3370587229728699,0.5649999976158142,706
19,final,1,0.8165410819439974,0.23101994395256042,0.48064534113269053,0.40140002965927124,0.3499058783054352,0.5666666626930237,744
19,final,2,0.37256268614165367,0.7900980710983276,0.8888746093225566,0.6718077659606934,0.22532768547534943,0.21166667342185974,724
19,final,3,0.772723637510527,0.28619688749313354,0.5349737259839342,0.4500444531440735,0.38839519023895264,0.6033333539962769,690
