stage_number,stage_name,agent_id,r2_score,mse,rmse,mae,avg_uncertainty,coverage,training_data_size
1,initial,0,0.05823489682144134,6.175204753875732,2.4849959263298063,1.6463309526443481,0.8764970898628235,0.70333331823349,150
1,initial,1,0.14492613414244848,5.6067657470703125,2.367861006704218,1.6415876150131226,0.8365289568901062,0.6466666460037231,150
1,initial,2,-0.06321925386946248,6.971586227416992,2.6403761526375353,1.8174532651901245,0.833223283290863,0.6133333444595337,150
1,initial,3,0.44696981920297096,3.626248836517334,1.9042712087613292,1.5711292028427124,0.9109014868736267,0.5799999833106995,150
2,dac,0,0.2635797837230702,4.828747272491455,2.1974410737244936,1.575240969657898,0.8764970898628235,0.6266666650772095,150
2,dac,1,0.26433152363421286,4.823817729949951,2.1963191320821185,1.5814327001571655,0.8365289568901062,0.6100000143051147,150
2,dac,2,0.2304500460987119,5.045980453491211,2.246325990031547,1.6176633834838867,0.833223283290863,0.596666693687439,150
2,dac,3,0.30216525172285624,4.575740337371826,2.139098019580175,1.576138973236084,0.9109014868736267,0.7300000190734863,150
3,retrain,0,0.08629730923000889,5.9911980628967285,2.4476923954812477,1.4741089344024658,1.029144048690796,0.8066666722297668,180
3,retrain,1,0.17517711871431307,5.408408164978027,2.3255984530821365,1.4785029888153076,1.0229851007461548,0.8100000023841858,180
3,retrain,2,0.0911068560414009,5.959661483764648,2.4412417913358455,1.6263177394866943,0.9941229224205017,0.7333333492279053,180
3,retrain,3,0.6117147935781906,2.5460071563720703,1.5956212446480118,1.2558069229125977,1.1237332820892334,0.8133333325386047,180
4,dac,0,0.40324932347434683,3.912926435470581,1.9781118359361234,1.390234112739563,1.029144048690796,0.6700000166893005,180
4,dac,1,0.3391847500464258,4.333001136779785,2.081586206905634,1.4269492626190186,1.0229851007461548,0.6700000166893005,180
4,dac,2,0.35404157319373397,4.235584259033203,2.058053512188933,1.4737097024917603,0.9941229224205017,0.6766666769981384,180
4,dac,3,0.4948461074121395,3.312321424484253,1.8199784131918304,1.3920353651046753,1.1237332820892334,0.7866666913032532,180
5,retrain,0,0.09482720531932942,5.935266971588135,2.4362403353503805,1.4741876125335693,1.098708152770996,0.8333333134651184,210
5,retrain,1,0.20507159463589575,5.212388515472412,2.283065595963553,1.4544917345046997,1.0852537155151367,0.8399999737739563,210
5,retrain,2,0.11894754427112475,5.777108669281006,2.403561663299073,1.5939747095108032,1.0683915615081787,0.7799999713897705,210
5,retrain,3,0.658358505100462,2.240161657333374,1.4967169596598329,1.093825101852417,1.2928026914596558,0.9466666579246521,210
6,dac,0,0.4658966121218001,3.5021448135375977,1.8714018311248917,1.3289364576339722,1.098708152770996,0.6766666769981384,210
6,dac,1,0.39844560987672795,3.944424629211426,1.9860575593903178,1.3744311332702637,1.0852537155151367,0.6633333563804626,210
6,dac,2,0.413472589110907,3.8458919525146484,1.9610945802063318,1.417306900024414,1.0683915615081787,0.6800000071525574,210
6,dac,3,0.5794591382155461,2.757509231567383,1.6605749701736994,1.277350664138794,1.2928026914596558,0.8033333420753479,210
7,retrain,0,0.1284343356410974,5.714903354644775,2.390586403927868,1.4336844682693481,1.1322822570800781,0.8433333039283752,240
7,retrain,1,0.2505193421960161,4.9143853187561035,2.216841293091615,1.4049969911575317,1.1492650508880615,0.8533333539962769,240
7,retrain,2,0.143946464505895,5.613189220428467,2.3692170057697264,1.5673547983169556,1.1041346788406372,0.8133333325386047,240
7,retrain,3,0.7062330867843245,1.9262455701828003,1.3878924923000342,0.992523193359375,1.413174033164978,0.9833333492279053,240
8,dac,0,0.49160051347432965,3.3336029052734375,1.8258156821742544,1.2851468324661255,1.1322822570800781,0.6933333277702332,240
8,dac,1,0.4335591366276679,3.7141833305358887,1.9272216609762065,1.3249441385269165,1.1492650508880615,0.6600000262260437,240
8,dac,2,0.427636500928529,3.753018379211426,1.9372708585046712,1.3927546739578247,1.1041346788406372,0.6700000166893005,240
8,dac,3,0.6235196668683164,2.468601942062378,1.571178520112332,1.2068239450454712,1.413174033164978,0.800000011920929,240
9,retrain,0,0.13636949214742367,5.662871837615967,2.379678935826421,1.417547345161438,1.145551085472107,0.846666693687439,270
9,retrain,1,0.2935960745237658,4.63192892074585,2.1521916552077442,1.3532898426055908,1.1869248151779175,0.8533333539962769,270
9,retrain,2,0.15466977308483487,5.54287576675415,2.354331278039297,1.556535005569458,1.111782431602478,0.8033333420753479,270
9,retrain,3,0.7344625835342122,1.7411432266235352,1.3195238636051776,0.929060161113739,1.514319896697998,0.996666669845581,270
10,dac,0,0.4948369852586858,3.3123812675476074,1.8199948537145942,1.2666268348693848,1.145551085472107,0.6766666769981384,270
10,dac,1,0.4510026177505547,3.5998055934906006,1.8973153647959005,1.2927356958389282,1.1869248151779175,0.6733333468437195,270
10,dac,2,0.42580921568637053,3.765000104904175,1.9403608182253564,1.3877230882644653,1.111782431602478,0.6566666960716248,270
10,dac,3,0.6467659545861308,2.3161747455596924,1.5218984018520068,1.1568191051483154,1.514319896697998,0.800000011920929,270
11,retrain,0,0.17091030900568271,5.4363861083984375,2.331605907609268,1.3845360279083252,1.1464530229568481,0.8533333539962769,300
11,retrain,1,0.346230775840613,4.286799907684326,2.0704588640406083,1.299871802330017,1.217496633529663,0.8633333444595337,300
11,retrain,2,0.1732810760161908,5.420840740203857,2.3282699027827203,1.5374547243118286,1.1163119077682495,0.800000011920929,300
11,retrain,3,0.7540155005877988,1.61293363571167,1.2700132423371302,0.8800570964813232,1.5917080640792847,0.996666669845581,300
12,dac,0,0.505302887766021,3.243755578994751,1.8010429142568345,1.247072458267212,1.1464530229568481,0.6866666674613953,300
12,dac,1,0.47595350705489536,3.4362010955810547,1.8536993002051478,1.2539085149765015,1.217496633529663,0.6833333373069763,300
12,dac,2,0.4305536042588076,3.7338907718658447,1.9323278116991032,1.379294991493225,1.1163119077682495,0.6499999761581421,300
12,dac,3,0.6752307346341113,2.1295297145843506,1.4592908259097466,1.1070013046264648,1.5917080640792847,0.7866666913032532,300
13,retrain,0,0.21694168822044213,5.134555816650391,2.265955828486158,1.3445097208023071,1.1295087337493896,0.8500000238418579,330
13,retrain,1,0.39739178395869723,3.9513347148895264,1.9877964470462075,1.2483769655227661,1.2276947498321533,0.8666666746139526,330
13,retrain,2,0.18365451587967563,5.352821350097656,2.3136165088660774,1.524053931236267,1.118930697441101,0.8033333420753479,330
13,retrain,3,0.7682883042338075,1.5193461179733276,1.2326175878890127,0.8407674431800842,1.6638449430465698,1.0,330
14,dac,0,0.5140909035648014,3.1861321926116943,1.7849740033433805,1.232143521308899,1.1295087337493896,0.6866666674613953,330
14,dac,1,0.49855295962628454,3.288015365600586,1.8132885500108873,1.220133900642395,1.2276947498321533,0.699999988079071,330
14,dac,2,0.43461761670562404,3.707242727279663,1.9254201430544096,1.3705517053604126,1.118930697441101,0.6399999856948853,330
14,dac,3,0.6995727667370175,1.96991765499115,1.403537550260466,1.068637728691101,1.6638449430465698,0.7599999904632568,330
15,retrain,0,0.2393545089788246,4.987593650817871,2.233292110499178,1.3226821422576904,1.116288661956787,0.8533333539962769,350
15,retrain,1,0.4275218224279683,3.753770351409912,1.937464929078695,1.2133651971817017,1.2318581342697144,0.8700000047683716,360
15,retrain,2,0.2053870225679032,5.210319995880127,2.282612537396596,1.5016342401504517,1.1152021884918213,0.8133333325386047,360
15,retrain,3,0.7868285226292369,1.3977768421173096,1.1822761276949263,0.8032072186470032,1.72515070438385,1.0,360
16,dac,0,0.5152527370208331,3.178514003753662,1.7828387486684436,1.2244269847869873,1.116288661956787,0.6800000071525574,350
16,dac,1,0.5138595607887786,3.1876490116119385,1.7853988382464963,1.1932908296585083,1.2318581342697144,0.70333331823349,360
16,dac,2,0.43939501878579823,3.675917148590088,1.9172681472840694,1.3597816228866577,1.1152021884918213,0.6333333253860474,360
16,dac,3,0.7200748686796465,1.835484266281128,1.3548004525689854,1.0351297855377197,1.72515070438385,0.7599999904632568,360
17,retrain,0,0.5152527370208331,3.178514003753662,1.7828387486684436,1.2244269847869873,1.116288661956787,0.6800000071525574,350
17,retrain,1,0.45285044335185043,3.587689161300659,1.8941196269773086,1.1843699216842651,1.2364569902420044,0.8866666555404663,366
17,retrain,2,0.22307314056156502,5.094351291656494,2.257066966586613,1.4833446741104126,1.113975167274475,0.8133333325386047,374
17,retrain,3,0.8010015100587132,1.3048439025878906,1.1422976418551736,0.7725319862365723,1.7723166942596436,1.0,375
18,dac,0,0.5639950713089109,2.85890793800354,1.6908305468034164,1.2196166515350342,1.116288661956787,0.6733333468437195,350
18,dac,1,0.5607966395250112,2.87988018989563,1.6970209750900636,1.1737780570983887,1.2364569902420044,0.6933333277702332,366
18,dac,2,0.4567753274446317,3.561953544616699,1.8873138436986836,1.358075737953186,1.113975167274475,0.6200000047683716,374
18,dac,3,0.7548928252475938,1.6071809530258179,1.267746407222603,1.0161043405532837,1.7723166942596436,0.753333330154419,375
19,final,0,0.5494406444458192,2.9543421268463135,1.7188199809306133,1.2383793592453003,1.116288661956787,0.6600000262260437,350
19,final,1,0.590479444253189,2.685248374938965,1.638672747969821,1.1684365272521973,1.2364569902420044,0.6899999976158142,366
19,final,2,0.4751847639461587,3.441241979598999,1.8550584841451763,1.3462328910827637,1.113975167274475,0.6133333444595337,374
19,final,3,0.7249361076939427,1.803608775138855,1.342985024167751,1.0576057434082031,1.7723166942596436,0.7400000095367432,375
