stage_number,stage_name,agent_id,r2_score,mse,rmse,mae,avg_uncertainty,coverage,training_data_size
1,initial,0,0.058266607164399464,6.174996852874756,2.4849540947218234,1.6463571786880493,0.8764790892601013,0.70333331823349,150
1,initial,1,0.1443684416724601,5.610422134399414,2.3686329674306683,1.6401344537734985,0.8365663886070251,0.6433333158493042,150
1,initial,2,-0.0655902691018333,6.987133026123047,2.6433185631177802,1.8196736574172974,0.8341687917709351,0.6133333444595337,150
1,initial,3,0.4440301897386537,3.645524024963379,1.9093255419030508,1.5758825540542603,0.9097096920013428,0.5733333230018616,150
2,dac,0,0.2618429132943949,4.8401360511779785,2.2000309205049775,1.5768754482269287,0.8764790892601013,0.6266666650772095,150
2,dac,1,0.2621438202474353,4.838162899017334,2.199582437422461,1.5833568572998047,0.8365663886070251,0.6133333444595337,150
2,dac,2,0.22955365489708934,5.051858425140381,2.2476339615561027,1.6182373762130737,0.8341687917709351,0.596666693687439,150
2,dac,3,0.30019046063879695,4.588688850402832,2.1421225105961685,1.5797555446624756,0.9097096920013428,0.7266666889190674,150
3,retrain,0,0.08592826537566145,5.993617534637451,2.448186580846617,1.474694013595581,1.0291551351547241,0.8066666722297668,180
3,retrain,1,0.17444349899914646,5.4132184982299805,2.3266324372856966,1.478913426399231,1.0225486755371094,0.8100000023841858,180
3,retrain,2,0.09113862843982468,5.959453105926514,2.441199112306596,1.626273274421692,0.9950892925262451,0.7333333492279053,180
3,retrain,3,0.6100071512738465,2.557204246520996,1.5991260883748335,1.2586112022399902,1.1241763830184937,0.8066666722297668,180
4,dac,0,0.40247176848948485,3.918025016784668,1.9794001659049814,1.3912465572357178,1.0291551351547241,0.6700000166893005,180
4,dac,1,0.33842159192959953,4.338005542755127,2.082787925535177,1.4278184175491333,1.0225486755371094,0.6700000166893005,180
4,dac,2,0.35377740307637107,4.237316608428955,2.058474339997697,1.4740098714828491,0.9950892925262451,0.6800000071525574,180
4,dac,3,0.49396011050101685,3.3181309700012207,1.8215737618886645,1.394065499305725,1.1241763830184937,0.7866666913032532,180
5,retrain,0,0.09503720101516122,5.933889865875244,2.4359576896726356,1.4743129014968872,1.098840594291687,0.8333333134651184,210
5,retrain,1,0.20474661016217488,5.214519500732422,2.283532242104854,1.454616904258728,1.0854073762893677,0.8399999737739563,210
5,retrain,2,0.1189523225419814,5.7770771980285645,2.4035551164948483,1.5939780473709106,1.0690293312072754,0.7799999713897705,210
5,retrain,3,0.6570941249874084,2.2484524250030518,1.4994840529338922,1.096096396446228,1.2912404537200928,0.9433333277702332,210
6,dac,0,0.46574916833536495,3.5031116008758545,1.8716601189521174,1.3291680812835693,1.098840594291687,0.6766666769981384,210
6,dac,1,0.3981736207706905,3.9462080001831055,1.9865064812839413,1.374766230583191,1.0854073762893677,0.6633333563804626,210
6,dac,2,0.4135273220316291,3.8455331325531006,1.96100309345832,1.4173026084899902,1.0690293312072754,0.6800000071525574,210
6,dac,3,0.5793041236622991,2.7585256099700928,1.660880974052654,1.277919054031372,1.2912404537200928,0.8033333420753479,210
7,retrain,0,0.1287242587767139,5.7130022048950195,2.3901887383416023,1.4334720373153687,1.1316943168640137,0.8433333039283752,240
