Function,Method,MSE,R²,Type
Multimodal,Baseline VSGP (Full Data),0.04420143398400159,0.9827781482551226,Centralized
Multimodal,Standard_DAC,0.2981787845492363,0.8838229904355173,Distributed
Multimodal,Weighted_DAC_PoE,0.30842047184705734,0.8798326029561856,Distributed
Sinusoidal,Baseline VSGP (Full Data),0.017067257389537956,0.9973996187598773,Centralized
Sinusoidal,Standard_DAC,2.72221702337265,0.5852408089427896,Distributed
Sinusoidal,Weighted_DAC_PoE,2.722031682729721,0.5852690402678649,Distributed
Polynomial,Baseline VSGP (Full Data),0.5774121410478378,0.9771297603095832,Centralized
Polynomial,Standard_DAC,0.7436678484082222,0.9705446755364646,Distributed
Polynomial,Weighted_DAC_PoE,0.7257379740476608,0.9712548443498628,Distributed
Rbf_Mixture,Baseline VSGP (Full Data),0.000707863539013519,0.9994343601638169,Centralized
Rbf_Mixture,Standard_DAC,0.39916205406188965,0.681037446572496,Distributed
Rbf_Mixture,Weighted_DAC_PoE,0.4102880582213402,0.6721468708501102,Distributed
